id;name;cia;date;time;type;synopsis;location;hasLibras;image;;;;;;;;;;;;;;;;;
30;Lechuga Circus;Cia Tramp de Palhaços;2025-12-13;19:30;circo;Chega o circo na cidade e quatro funcionários começam a preparar o picadeiro para o espetáculo. Ao encontrarem um baú, se divertem com as magníficas situações que aparecem a partir dos objetos guardados nele, realizando assim o sonho de poderem fazer parte deste fantástico mundo dos espetáculos circenses.;Rua Leopoldina de Camargo, 260;true;Lechuga Circus - Beatriz Pasrorini 04 (1) - Ator Luan Silva.jpg;;;;;;;;;;;;;;;;;
31;Victor Di França & Os Ponta de Lança ;;2025-12-13;21:00;musica;O Grupo Victor Di França & Os Ponta de Lança apresenta o espetáculo Origem do Meu Samba, com repertório autoral inspirado nas tradições nordestinas e afroindígenas. O show percorre ritmos como Coco de Roda, Ciranda, Samba de Roda e Pontos de Jurema e Candomblé, unindo poesia, percussão marcada, rabeca e violão em uma sonoridade vibrante. O grupo acaba de gravar o single Nas Pedras do Mar Caminhei, com lançamento previsto para o segundo semestre, que também integra o repertório do show.;Rua Leopoldina de Camargo, 260;true;WhatsApp Image 2025-11-13 at 18.08.02 - Gabriela Pereira.jpg;;;;;;;;;;;;;;;;;
32;Cantação de Brinquedos;Tapioca e Macaxeira;2025-12-14;18:00;teatro;Cantação de Brinquedos estimula a memória, o ritmo e a autoestima das crianças, valorizando tradições culturais e o prazer do brincar coletivo. Reavivar a ludicidade, a cultura e a cidadania por meio da música, do corpo, do ritmo e do brinquedo sonoro. ;Rua Leopoldina de Camargo, 260;true;Foto para divulgação 2 - Japuara Produções.jpg;;;;;;;;;;;;;;;;;
33;Paradinha da Rua de Natal;;2025-12-14;18:00;paradinha;Com muita música, brilho e alegria, a Paradinha da Rua de Natal abre o caminho da festa! Este ano, quem conduz o cortejo são as Guardiãs do Natal — Coralina, Bravalina, Risinho e Uny. Juntas, elas lideram o desfile pelas ruas do centro de Itapevi espalhando a magia. Colorida e vibrante, a paradinha tem início na Praça 18 de Fevereiro e convida o público a seguir junto até a Rua de Natal, para a realização do Espetáculo de Luzes. Nesses dias especiais, após o acendimento da rua, as Guardiãs sobem ao palco para a performance  “O Despertar das Guardiãs”.;Praça 18 de Fevereiro;true;paradinha da rua de natal.jpg;;;;;;;;;;;;;;;;;
34;Espetáculo de Luzes;;2025-12-14;19:00;;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
35;Chegada do Papai Noel;;2025-12-14;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
36;Pabllo Vittar Cover ;;2025-12-14;19:30;danca;Pabllo Vittar Cover Oficial apresenta um show vibrante que celebra os maiores hits da carreira de Pabllo Vittar. Com performances cheias de energia, figurinos marcantes e coreografias que remetem aos grandes momentos da artista, o espetáculo recria a atmosfera dos palcos de Pabllo, fazendo o público cantar e dançar do início ao fim.;Rua Leopoldina de Camargo, 260;true;IMG_6018 - Celso Figueiredo.jpeg;;;;;;;;;;;;;;;;;
37;Banda Carambolá;;2025-12-14;21:00;musica;O show da Banda Carambolá trás composições próprias inspiradas em gigantes da música brasileira como Moacir Santos, John Coltrane, e o jazz e também toca o cancioneiro popular brasileiro como Carinhoso, Feijoada Completa e Clube da Esquina 2,  deixando a apresentação com muito balanço e improvisação sendo um convite para quem quer ouvir ou dançar, curtir o som da forma que quiser com muita energia e profundidade, para balançar o esqueleto.;Rua Leopoldina de Camargo, 260;true;IMG-20231218-WA0086 - João Nepomuceno.jpg;;;;;;;;;;;;;;;;;
38;Espetáculo de Luzes;;2025-12-15;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
39;Espetáculo de Luzes;;2025-12-16;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
40;Espetáculo de Luzes;;2025-12-17;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
41;Espetáculo de Luzes;;2025-12-18;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
42;Mostra da Escola Livre de Dança de Itapevi;;2025-12-19;18:00;danca;A Mostra da Escola Livre de Dança de Itapevi reúne os alunos da Secretaria de Cultura de cidade em uma apresentação especial de fim de ano, criada para celebrar o aprendizado, a dedicação e a evolução artística de cada turma.;Rua Leopoldina de Camargo, 260;true;Mostra da Escola Livre.jpg;;;;;;;;;;;;;;;;;
43;Paradinha da Rua de Natal;;2025-12-19;18:00;paradinha;Com muita música, brilho e alegria, a Paradinha da Rua de Natal abre o caminho da festa! Este ano, quem conduz o cortejo são as Guardiãs do Natal — Coralina, Bravalina, Risinho e Uny. Juntas, elas lideram o desfile pelas ruas do centro de Itapevi espalhando a magia. Colorida e vibrante, a paradinha tem início na Praça 18 de Fevereiro e convida o público a seguir junto até a Rua de Natal, para a realização do Espetáculo de Luzes. Nesses dias especiais, após o acendimento da rua, as Guardiãs sobem ao palco para a performance  “O Despertar das Guardiãs”.;Praça 18 de Fevereiro;true;paradinha da rua de natal.jpg;;;;;;;;;;;;;;;;;
44;Espetáculo de Luzes;;2025-12-19;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
45;Chegada do Papai Noel;;2025-12-19;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
46;1, 2, 3 S.O.M.E - Espetáculo de Magia Espetácular;Núcleo Bassusseder;2025-12-19;19:30;circo;"Um pretenso “mestre da magia” realiza as mágicas, mas elas não saem da maneira como ele espera, o que é pra desaparecer se multiplica, a água que parecia ter acabado jorra sem explicação da garrafa.
Tudo isso com a relação dos palhaços que interagem diretamente com o público.";Rua Leopoldina de Camargo, 260;true;123 SOME - foto Leandro Godoi 01 - Leelas Produções.jpg;;;;;;;;;;;;;;;;;
